r,gcd360,mod8,mod9,mod5,mod30,prime_capable,unit_order,mirror,square,cube,pow4,pow6,pow12,pow13,support_idempotent,support,regular,nilpotent
337,1,1,4,2,7,1,12,23,169,73,121,289,1,337,1,235,1,0
338,2,2,5,3,8,0,,22,124,152,256,64,136,248,136,35,0,0
339,3,3,6,4,9,0,,21,81,99,81,81,81,99,81,25,0,0
340,20,4,7,0,10,0,,20,40,280,160,280,280,160,280,3,0,0
341,1,5,8,1,11,1,2,19,1,341,1,1,1,341,1,235,1,0
342,18,6,0,2,12,0,,18,324,288,216,144,216,72,216,5,0,0
343,1,7,1,3,13,1,4,17,289,127,1,289,1,343,1,235,1,0
344,8,0,2,4,14,0,,16,256,224,16,136,136,344,136,35,1,0
345,15,1,3,0,15,0,,15,225,225,225,225,225,225,225,2,0,0
346,2,2,4,1,16,0,,14,196,136,256,136,136,256,136,35,0,0
347,1,3,5,2,17,1,12,13,169,323,121,289,1,347,1,235,1,0
348,12,4,6,3,18,0,,12,144,72,216,144,216,288,216,5,0,0
349,1,5,7,4,19,1,6,11,121,109,241,1,1,349,1,235,1,0
350,10,6,8,0,20,0,,10,100,80,280,280,280,80,280,3,0,0
351,9,7,0,1,21,0,,9,81,351,81,81,81,351,81,25,1,0
352,8,0,1,2,22,0,,8,64,208,136,64,136,352,136,35,1,0
353,1,1,2,3,23,1,12,7,49,17,241,289,1,353,1,235,1,0
354,6,2,3,4,24,0,,6,36,144,216,216,216,144,216,5,0,0
355,5,3,4,0,25,0,,5,25,235,265,145,145,355,145,23,1,0
356,4,4,5,1,26,0,,4,16,296,256,136,136,176,136,35,0,0
357,3,5,6,2,27,0,,3,9,333,81,9,81,117,81,25,0,0
358,2,6,7,3,28,0,,2,4,352,16,64,136,88,136,35,0,0
359,1,7,8,4,29,1,2,1,1,359,1,1,1,359,1,235,1,0
